     T(MeV)         phi_e         thetah           tnuh           nbh           a/a_i             N              P             H2            He4
 .5273559D+01  0.6888352D-09  0.7274873D-19  0.1000000D+01  0.4504088D-06  0.1896388D+01  0.4380552D+00  0.5619447D+00  0.2163518D-11  0.1000000D-29
 .5236720D+01  0.6893271D-09  0.7173581D-19  0.1000000D+01  0.4410285D-06  0.1909732D+01  0.4376508D+00  0.5623491D+00  0.2146778D-11  0.1000000D-29
 .5200041D+01  0.6898245D-09  0.7073434D-19  0.1000000D+01  0.4318191D-06  0.1923205D+01  0.4372422D+00  0.5627577D+00  0.2130161D-11  0.1000000D-29
 .5163520D+01  0.6903274D-09  0.6974417D-19  0.1000000D+01  0.4227777D-06  0.1936811D+01  0.4368293D+00  0.5631706D+00  0.2113666D-11  0.1000000D-29
 .5127155D+01  0.6908361D-09  0.6876518D-19  0.1000000D+01  0.4139014D-06  0.1950551D+01  0.4364122D+00  0.5635877D+00  0.2097292D-11  0.1000000D-29
 .5090946D+01  0.6913505D-09  0.6779723D-19  0.1000000D+01  0.4051872D-06  0.1964428D+01  0.4359906D+00  0.5640093D+00  0.2081038D-11  0.1000000D-29
 .5054889D+01  0.6918708D-09  0.6684019D-19  0.1000000D+01  0.3966323D-06  0.1978443D+01  0.4355646D+00  0.5644353D+00  0.2064903D-11  0.1000000D-29
 .5018984D+01  0.6923972D-09  0.6589393D-19  0.1000000D+01  0.3882338D-06  0.1992600D+01  0.4351340D+00  0.5648659D+00  0.2048885D-11  0.1000000D-29
 .4983229D+01  0.6929296D-09  0.6495832D-19  0.1000000D+01  0.3799890D-06  0.2006901D+01  0.4346988D+00  0.5653011D+00  0.2032984D-11  0.1000000D-29
 .4947622D+01  0.6934682D-09  0.6403323D-19  0.1000000D+01  0.3718952D-06  0.2021348D+01  0.4342589D+00  0.5657410D+00  0.2017198D-11  0.1000000D-29
 .4912160D+01  0.6940132D-09  0.6311851D-19  0.1000000D+01  0.3639496D-06  0.2035944D+01  0.4338142D+00  0.5661857D+00  0.2001525D-11  0.1000000D-29
 .4876843D+01  0.6945645D-09  0.6221406D-19  0.1000000D+01  0.3561496D-06  0.2050692D+01  0.4333646D+00  0.5666353D+00  0.1985966D-11  0.1000000D-29
 .4841668D+01  0.6951224D-09  0.6131972D-19  0.1000000D+01  0.3484925D-06  0.2065594D+01  0.4329100D+00  0.5670898D+00  0.1970517D-11  0.1000000D-29
